batsman,bowler,runs,balls,dismissals
KA Pollard,DL Vettori,1,4,1
B Chipli,DL Vettori,4,5,0
Ishan Kishan,YK Pathan,2,3,0
R Bhatia,M Muralitharan,2,4,0
V Shankar,S Rutherford,1,1,0
CH Gayle,S Kaul,13,16,0
MK Pandey,MS Gony,17,12,0
LA Pomersbach,DJG Sammy,15,10,0
GJ Maxwell,Yuvraj Singh,17,5,0
G Gambhir,Yuvraj Singh,16,17,0
SR Tendulkar,KW Richardson,4,2,0
AT Rayudu,Kuldeep Yadav,24,24,2
MC Henriques,HV Patel,27,13,0
R Bhatia,KV Sharma,2,2,0
AD Nath,Kuldeep Yadav,1,2,0
AM Rahane,P Negi,21,25,1
SS Iyer,Rashid Khan,60,51,1
A Mishra,PP Chawla,3,4,0
SK Warne,GD McGrath,1,4,0
A Symonds,AL Menaria,1,1,0
KA Pollard,DJ Hussey,3,3,0
GJ Bailey,Mustafizur Rahman,1,3,0
SP Fleming,GD McGrath,5,10,0
RP Singh,Harbhajan Singh,3,3,1
RV Uthappa,YA Abdulla,13,5,0
YK Pathan,P Kumar,32,21,1
S Badrinath,AL Menaria,2,6,0
CA Pujara,P Awana,14,13,1
DPMD Jayawardene,R Vinay Kumar,9,13,0
Iqbal Abdulla,Harbhajan Singh,2,3,0
VR Aaron,SJ Srivastava,0,2,0
CJ Anderson,NM Coulter-Nile,0,1,0
TM Dilshan,Iqbal Abdulla,4,4,0
TM Dilshan,RP Singh,38,43,1
KC Sangakkara,RV Gomez,2,2,0
MK Tiwary,GB Hogg,8,9,1
M Klinger,Iqbal Abdulla,6,5,0
AC Gilchrist,AP Dole,17,6,1
AD Russell,Mohammed Siraj,17,8,1
AB de Villiers,SB Jakati,55,29,2
S Rana,SP Narine,1,1,0
MD Mishra,RP Singh,5,3,0
BB Sran,A Zampa,1,1,0
BA Stokes,S Sharma,2,2,0
AM Rahane,Mandeep Singh,6,4,0
DA Warner,JD Unadkat,23,29,1
DJ Hooda,S Kaushik,8,9,0
S Badrinath,TM Dilshan,19,14,0
Yuvraj Singh,M Morkel,21,22,0
CH Gayle,DJ Muthuswami,14,6,0
M Kartik,JDP Oram,0,1,1
KK Nair,S Aravind,10,7,0
PA Patel,R Shukla,0,2,0
PP Chawla,RP Singh,15,10,1
EJG Morgan,JA Morkel,6,7,1
EJG Morgan,DT Christian,9,9,1
G Gambhir,KA Pollard,5,10,1
S Dhawan,P Parameswaran,28,14,0
MM Sharma,AD Russell,1,2,1
EJG Morgan,AF Milne,2,2,0
UT Khawaja,B Kumar,2,3,0
M Vijay,J Yadav,2,4,0
SR Tendulkar,M Muralitharan,36,26,0
Y Venugopal Rao,R McLaren,1,4,0
A Hales,D Willey,1,1,0
GJ Maxwell,R Tewatia,0,3,1
MA Khote,B Lee,2,3,0
SV Samson,L Plunkett,2,3,0
S Vidyut,V Sehwag,13,5,0
LMP Simmons,Mohammad Nabi,0,2,1
AD Mascarenhas,SC Ganguly,7,6,0
EJG Morgan,SR Watson,29,13,1
Y Nagar,RA Jadeja,12,18,0
SR Watson,JEC Franklin,4,3,0
MS Dhoni,LRPL Taylor,8,3,0
SR Tendulkar,RE van der Merwe,17,17,0
B Lee,Z Khan,3,3,1
AN Ahmed,SK Raina,3,6,0
SE Marsh,RP Singh,59,35,1
IR Jaggi,SK Trivedi,1,1,0
JP Duminy,B Lee,11,8,0
SE Marsh,Iqbal Abdulla,4,4,0
LMP Simmons,DS Kulkarni,19,20,1
M Vijay,M Kartik,22,23,0
Mandeep Singh,MS Gony,0,1,1
Mohammad Hafeez,S Sreesanth,7,5,0
MK Tiwary,MN Samuels,5,2,0
DA Warner,SA Abbott,7,3,0
SE Marsh,Mustafizur Rahman,0,3,1
MA Agarwal,J Archer,3,11,0
J Searles,B Laughlin,1,2,1
YK Pathan,S Sreesanth,10,7,0
S Gill,CH Morris,8,6,0
CA Lynn,M Muralitharan,16,7,0
KL Rahul,BE Hendricks,1,3,0
A Mishra,K Ahmed,1,2,0
MS Dhoni,M Morkel,34,13,1
M Ali,AD Russell,1,2,0
V Kohli,J Dala,24,11,0
AM Nayar,BW Hilfenhaus,5,4,0
MC Juneja,Harbhajan Singh,9,7,0
AM Nayar,B Geeves,0,1,1
S Dhawan,WPUJC Vaas,1,3,0
DJG Sammy,R Vinay Kumar,7,3,1
RA Jadeja,S Dube,1,3,0
AF Milne,Imran Tahir,3,6,1
MS Dhoni,Karanveer Singh,18,12,0
V Kohli,A Ashish Reddy,32,26,2
AB de Villiers,Kuldeep Yadav,22,12,0
A Symonds,UT Yadav,13,12,0
L Ronchi,DNT Zoysa,8,6,0
C Madan,A Mishra,0,3,0
Q de Kock,I Sharma,37,24,1
Harbhajan Singh,JDP Oram,17,8,0
DJ Hooda,HV Patel,4,5,0
Mohammed Shami,KV Sharma,1,1,0
S Badrinath,SK Trivedi,24,20,0
CL White,WD Parnell,5,3,1
VR Aaron,S Rutherford,1,3,0
M Kaif,JE Taylor,2,2,0
MDKJ Perera,IK Pathan,4,5,0
CH Gayle,RS Bopara,30,10,0
AJ Finch,L Ngidi,0,2,0
DA Warner,YK Pathan,45,37,0
A Symonds,VY Mahesh,1,1,0
Ankit Sharma,RA Jadeja,13,10,0
JA Morkel,R Vinay Kumar,24,14,2
CA Pujara,Jaskaran Singh,4,6,0
C de Grandhomme,KH Pandya,8,6,0
R Sathish,SW Tait,5,4,0
R Parag,KH Pandya,6,4,0
A Mishra,IK Pathan,7,6,0
NLTC Perera,JP Faulkner,15,9,0
KD Karthik,IK Pathan,47,36,2
NS Naik,MC Henriques,7,6,0
B Kumar,VR Aaron,0,2,1
S Dhawan,KA Pollard,13,8,0
Z Khan,Shakib Al Hasan,3,3,0
IK Pathan,DE Bollinger,25,14,0
DH Yagnik,R Ashwin,4,9,1
CL White,SK Trivedi,8,11,1
AC Gilchrist,A Mishra,38,33,2
SV Samson,DJ Bravo,18,14,1
EJG Morgan,TG Southee,8,7,1
B Chipli,Yuvraj Singh,4,6,0
KD Karthik,M Morkel,38,36,2
SP Goswami,B Lee,1,1,0
AD Nath,CJ Jordan,1,2,0
S Dhawan,R Parag,2,2,0
YK Pathan,S Badree,4,4,0
DR Smith,BA Stokes,1,4,0
RG Sharma,KV Sharma,34,26,1
SN Khan,NLTC Perera,2,1,0
RA Jadeja,KW Richardson,2,2,0
RR Pant,SL Malinga,0,1,0
R Vinay Kumar,S Nadeem,2,3,0
R Salam,K Rabada,5,4,0
DA Miller,K Rabada,4,1,0
JA Morkel,RE van der Merwe,4,5,0
PA Patel,DJ Bravo,20,15,3
CRD Fernando,DE Bollinger,2,2,0
SK Raina,J Theron,2,3,1
KC Sangakkara,CH Gayle,8,7,1
SM Harwood,FH Edwards,0,3,0
AD Mathews,B Lee,7,3,0
IK Pathan,AS Rajpoot,0,1,0
S Badrinath,KP Pietersen,8,3,0
AM Nayar,VRV Singh,17,7,0
AS Yadav,RA Jadeja,18,21,0
DJG Sammy,AR Patel,11,6,0
S Dhawan,Yuvraj Singh,2,5,2
DT Christian,WD Parnell,2,2,0
AB de Villiers,Ankit Soni,3,4,0
RA Tripathi,MJ McClenaghan,21,14,1
PJ Sangwan,RP Singh,4,3,0
MS Dhoni,DT Christian,12,11,1
CR Woakes,AJ Tye,1,2,0
SM Pollock,IK Pathan,2,2,0
MV Boucher,V Sehwag,18,5,0
MEK Hussey,STR Binny,39,22,1
MS Dhoni,RR Bhatkal,14,5,0
Harbhajan Singh,RA Jadeja,13,12,0
DA Miller,R Rampaul,19,9,0
KC Sangakkara,UT Yadav,5,3,0
